tag	EN	SP	RU	PT	DE	PL	CZ	TR	IT	FR
INTRO_4	A century ago, the Deep Lords rose. Legend says these mysterious sorcerers came from another world. They opened magical Gates, and through them, the Horrors came.	Hace un siglo, se alzaron los Señores de la Profundidad. Nadie sabe quiénes eran estos hechiceros, pero se dice que procedían de otro mundo, y que abrieron Portales, de los que surgieron Los Horrores.	Сотню лет назад поднялись Глубинные Владыки . Легенды гласят, что эти таинственные волшебники пришли из другого мира. Они создали магические врата и Ужас пришел через них.	Um século atrás, os Senhores das Profundezas ergueram-se. As lendas dizem que esses feiticeiros poderosos vieram de outro mundo. Eles abriram Portais Mágicos e, por eles, os Horrores vieram.	Vor hundert Jahren erhoben sich die Herren der Tiefe. Der Legende nach entstammten diese mysteriösen Hexer einer anderen Welt. Sie öffneten magischen Pforten, und durch diese kamen die Schrecken.	Przed stu laty pojawili się Władcy Podziemi. Legendy mówią, że owi tajemniczy czarnoksiężnicy przybyli z innego świata. Otworzyli magiczne Wrota, przez które na ziemię zstąpiły Horrory.	Před stoletím Hlubinní Páni povstali. Legenda praví, že tito záhadní černokněžníci přišli z jiného světa. Otevřeli magické Brány a skrz ně přišly Přízraky.	Bir yüzyıl önce, Derin Lordlar yükseldi.Efsane, bu gizemli büyücülerin başka bir dünyadan geldiğini söylüyor. Büyü kapılar açtılar ve onların arasından Korkular geldi.	Un secolo fa, la rosa dei Signori Profondi. Le leggende narrano che questi misteriosi uomini arrivarono da un altro mondo. Aprirono il Portale magico e da esso uscirono gli Orrori.	Il y a un siècle, les Seigneurs des Abîmes arrivèrent. La légende raconte que ces mystérieux sorciers venaient d'un autre monde. Ils ouvrirent des Portails magiques, et par leur biais, vinrent les Horreurs.
INTRO_5	What The Horrors were, or what they looked like, has been forgotten. But in just a few weeks, the Empire was overrun, despite all its might.	Las leyendas acerca de Los Horrores son confusas, y poco se recuerda sobre qué eran exáctamente. Pero el Imperio, pese a su poder, fue arrasado en pocas semanas. 	Никто не помнит о том, чем был Ужас, и на что он был похож. Но тогда всего за несколько недель Империя была разорена, несмотря на всю её мощь.	O que os Horrores eram, ou como eles se pareciam, há muito foi esquecido. Mas, em apenas algumas semanas, o Império sucumbiu, mesmo com todo seu poder.	Was die Schrecken waren, oder wie sie aussahen, geriet in Vergessenheit. Aber innerhalb weniger Wochen wurde das Reich überrannt, trotz all seiner Macht.	Czym Horrory były lub jak wyglądały, nie jest już wiadome. W przeciągu tylko kilku tygodni, mimo całej swej potęgi, Imperium zostało pokonane.	Co byly Přízraky či jak vypadaly bylo zapomenuto. Během několika týdnů Impérium padlo, i přes jeho veškerou moc.	Korkuların ne olduğu veya neye benzediği unutuldu. Ancak sadece birkaç hafta içinde İmparatorluğun tüm gücüne rağmen aşırı kalmıştı.	Cosa fossero gli Orrori, o come apparissero, è stato dimenticato. Ma in un paio di settimane, per quanto grande, l'Impero fu ridotto in macerie.	Ce qu'étaient ou semblaient être les Horreurs est oublié depuis longtemps. Mais en quelques semaines, l'Empire tomba, malgré sa puissance apparente.
INTRO_6	Only a few thousand survived, sailing away to the Isle of Varannar. An imperial colony, but a savage and harsh land. Luckily, the Horrors didn't follow.	Sólo unos pocos miles escaparon, navegando a la Isla de Varannar, una colonia imperial. Era una tierra inhóspita y salvaje. Pero por suerte, los Horrores no les persiguieron.	Лишь несколько тысяч сбежали, отплыв на остров Вараннар, имперскую колонию. Это была мрачная и дикая земля. Но, к счастью, Ужас не преследовал их.	Apenas alguns milhares sobreviveram, navegando para a Ilha de Varannar, uma colônia imperial. Era uma terra inóspita e selvagem, mas por sorte, os Horrores não os perseguiram.	Nur ein paar Tausend überlebten und segelten fort zur Insel Varannar. Eine imperiale Kolonie, doch ein wildes und raues Land. Glücklicherweise folgten ihnen die Schrecken nicht.	Kilka tysięcy osób, które ocalały, pożeglowały do Varannar – imperialnej kolonii, krainy dzikiej i surowej. Na całe szczęście Horrory nie podążyły za nimi.	Pouhých několik tisíc lidí se zachránilo. Vypluli směrem k Ostrovu Varannar, Imperiální kolonii, velmi drsné a kruté to zemi. Naštěstí je Přízraky nepronásledovaly.	Sadece birkaç bin kişi Varannar'ın Adası'na doğru yola çıktı. İmparatorluk kolonisi, ancak vahşi ve sert bir topraklar.Neyse ki Korkular bunu takip etmedi.	Solo qualche migliaio di persone, salpando verso l'isola di Varannar. Una colonia imperiale in un isola distante. Gli orrori non li seguirono.	Seuls quelques milliers de rescapés survirent, fuyant par la mer vers l'Ile de Varannar. C'était une colonie Impériale, malgré les terres sauvages et une terre peu clémente
INTRO_7	These exiles endured the hardships, and to some extent tamed the land. They built farms, villages, cities, and castles. Then finally...	Los exiliados sufrieron y lucharon, y domesticaron la tierra. Construyeron granjas, poblados, ciudades, y finalmente...	Изгнанники страдали, сражались, начали осваивать землю. Они строили фермы, деревни, города и замки. И в конце концов...	Os exilados sofreram, lutaram, e em parte domesticaram a terra. Construíram fazendas, aldeias, cidades, castelos, e finalmente...	Diese Vertriebenen ertrugen die Widrigkeiten und konnten das Land ein Stück weit bändigen. Sie errichteten Farmen, Dörfer, Städte und Burgen. Und letztendlich...	Wygnańcy pokonali liczne trudności i w pewnym stopniu okiełznali niegościnną ziemię. Zbudowali farmy oraz zamki. Założyli wioski i miasta, a następnie...	Tito exulanti zdolali těžkosti a podmanili si divoká území. Vybudovali farmy, vesnice, města a hrady. Poté konečně ...	Bu sürgünler zorluklara katlandı ve bir dereceye kadar toprağı evcilleştirdi. Çiftlikler, köyler, şehirler ve kaleler inşa ettiler. Sonra nihayet ...	Questi esuli sopportano le difficoltà e, in qualche misura, hanno addomesticato la terra. Costruivano fattorie, villaggi, città e castelli. Poi finalmente ...	
INTRO_8	The Exiled Kingdoms	Los Reinos Exiliados	Изгнанные Королевства	Os Reinos Exilados	Die Verbannten Königreiche (The Exiled Kingdoms).	Królestwa Wygnanych	Exilová Království	Sürgün Krallıklar	I Regni Esiliati.	
INTRO_9	A century later, for many, the Empire and the Horrors are just fairytales. As a young adventurer, you're more worried about your lack of work and your empty purse...	Tras un siglo, muchos creen que el Imperio y los Horrores son sólo leyendas. Como joven aventurero, te preocupan más no tener trabajo, y la bolsa vacía...	Спустя всего век, многие думают, что Империя и Ужас - только легенды. Как молодой авантюрист, Вы больше беспокоитесь по поводу пустого кошелька и отсутствия работы...	Um século depois, para muitos, o Império e os Horrores são apenas lendas. Como um jovem aventureiro, você se preocupa mais com a falta de trabalho e sua bolsa vazia...	Ein Jahrhundert später sind das Reich und die Schrecken für viele nicht mehr als bloße Märchen. Als junger Abenteurer bist du eher über deinen Mangel an Arbeit und deinen leeren Geldbeutel besorgt...	Sto lat później Imperium oraz Horrory jawiły się dla wielu tylko jako baśnie. Ty za to martwisz się brakiem pracy i pustką w sakiewce ze złotem...	O století později, se Impérium a Přízraky staly pro mnohé pohádkovými příběhy. Jako mladý dobrodruh se mnohem více trápíš nepřítomností práce a prázdným měšcem...	Bir yüzyıl sonra, birçokları için İmparatorluk ve Korkular sadece masal olur. Genç bir maceraperest olarak, işiniz yetersizliği ve boş cüzdanınızdan daha fazla endişeleniyorsunuz ...	Un secolo dopo, per molti l'Impero e gli Orrori sono solo favole. Come giovane avventuriero sei più preoccupato per il poco lavoro e la borsa vuota...	
INTRO_10	But your luck has changed. You received a magical letter from New Garand, summoning you to collect a mysterious inheritance. This sounds promising!	Pero tu suerte ha cambiado. Has recibido una carta mágica de New Garand llamándote para cobrar una misteriosa herencia. Parece prometedor!	Но, кажется, Вам повезло. Вы получили волшебное письмо из Нью-Гаранда, Вас приглашают получить таинственное наследство. Звучит многообещающе.	Mas sua sorte mudou. Você recebeu uma carta mágica de Nova Garand, te chamando para buscar uma herança misteriosa. E isso parece promissor.	Aber das Blatt hat sich gewendet. Du hast aus New Garand einen magischen Brief erhalten, der dich dazu auffordert, ein mysteriöses Erbe in Empfang zu nehmen. Hört sich vielversprechend an!	Ale twoje szczęście się odmieniło. Przyszedł do ciebie magiczny list z Nowego Garand, wzywający do odebrania tajemniczego spadku. Brzmi obiecująco!	Vše se v dobré obrací. Obdržels kouzelný dopis z New Garand, žádající Tě o převzetí záhadného dědictví. To zní slibně!	Ancak şansınız değişti.New Garand'dan gizemli bir miras toplamak için sizi çağıran büyülü bir mektup aldınız. Bu umut verici geliyor!	Ma la tua fortuna ha girato. Hai ricevuto una lettera magica da New Garand che ti convoca per riscuotere una misteriosa eredità. Sembra promettente!	
INTRO_11	You don't remember having any relatives there, but you started the journey anyhow. While crossing the perilous Sagar forest, you listen to disturbing noises ahead of you...	No recuerdas parientes allí, pero igualmente comenzaste el viaje. Mientras cruzas el peligroso Bosque de Sagar, escuchas unos extraños ruidos más alante...	Вы не смогли припомнить каких-либо проживающих там родственников, но все равно отправились в путь. Пересекая опасный лес Сагар, Вы слышите тревожные звуки впереди ...	Você não se lembra de ter parentes lá, mas começa sua jornada de qualquer forma. Enquanto cruza a perigosa Floresta Sagar, você escuta estranhos barulhos a sua frente...	Du erinnerst dich nicht daran, dort irgendwelche Verwandten zu haben, doch du hast die Reise dennoch begonnen. Während du den gefährlichen Sagar-Wald durchquerst, hörst du vor dir beunruhigende Geräusche...	Nie jesteś w stanie sobie przypomnieć żadnych krewnych z tamtych okolic, ale i tak ruszasz w podróż. Kiedy tak wędrujesz przez dziki las Sagar, słyszysz nagle przed sobą niepokojące dźwięki...	Nepamatuješ si, že bys tam měl nějaké příbuzné, přesto se vydáš na cestu. Když procházíš nevypočitatelným Sagarským lesem, slyšíš znepokojicí zapraskání před tebou...	Orada bir akrabayı olduğunu hatırlamıyorsun, ama yolculuğa zaten başladın. Tehlikeli Sagar ormanını geçerken, önünüzdeki rahatsız edici sesleri dinlersiniz ...	Non ricordi di avere parenti lì, ma sei partito comunque. Attraversando il pericoloso bosco di Sagar senti dei preoccupanti rumori davanti a te...	
INITIAL_MESSAGE_TITLE	I WAS ROBBED IN MY SLEEP!	¡ME HAN ROBADO!	Я БЫЛ ОГРАБЛЕН ВО СНЕ!	EU FUI ROUBADO ENQUANTO DORMIA!	ICH WURDE IM SCHLAF AUSGERAUBT!	OKRADZIONO MNIE PODCZAS SNU!	BYL JSEM OKRADEN VE SPÁNKU!	Ben uykudayken ROBBEDDim!	SONO STATO DERUBATO NEL SONNO!	
INITIAL_MESSAGE	Everything is gone: money, weapons, even the letter. All I have now is a dagger and a few coins. It must have been Adaon!<p><p> I need to equip myself again, or I won't survive long. Maybe I can find help in that village to the north.	Me han robado todo, incluso la carta. Sólo me queda esta daga y unas pocas monedas. ¡Debe haber sido Adaon!<p><p> Necesito conseguir equipo de nuevo, o no sobreviviré. Quizá puedan ayudarme en ese pueblo, al norte.	Всё пропало: деньги, оружие, даже письмо. Все, что у меня сейчас осталось, это кинжал и несколько монет. Должно быть, это дело рук Адаона!<p><p> Мне нужно снова раздобыть снаряжение или я долго не протяну. Может быть, я найду помощь в той деревне на севере.	Tudo se foi: dinheiro, armas, até a carta. Tudo que tenho agora é essa adaga e algumas moedas. Deve ter sido Adaon!<p><p> Eu preciso me equipar novamente, ou não vou sobreviver. Talvez eu consiga ajuda naquela vila ao norte.	Alles ist weg: Geld, Waffen, selbst der Brief. Alles, was mir bleibt, ist ein Dolch und ein paar Münzen. Das muss Adaon gewesen sein!<p><p> Ich muss mich von neuem ausrüsten oder ich werde nicht lange überleben. Vielleicht kann ich im Dorf nördlich von hier Hilfe finden.	Wszystko zniknęło: pieniądze, broń, nawet list. Jedyne co mi zostało to sztylet i kilka monet. To musiał być Adaon!<p><p> Muszę znaleźć jakieś wyposażenie, inaczej długo nie pożyję. Może znajdę jakąś pomoc w wiosce na północy.	Všechno zmizelo: peníze, zbraně, dokonce i dopis. Vše co mám je dýka a pár mincí. Musel to být Adaon!<p><p> Potřebuji se znovu vybavit, nebo dlouho nepřežiju. Možná naleznu pomoc v tamté vesnici na severu.	Her şey gitti: para, silah, mektup bile.Elimde olan her şey bir hançer ve birkaç madeni paradır. Adaon olmalı! <p><p> Kendimi tekrar hazırlamalıyım, yoksa uzun süre dayanamayacağım.Belki kuzeydeki bu köyden yardım bulabilirim.	Mi hanno rubato tutto, perfino la lettera. Mi rimangono solo il pugnale e poche monete. Deve essere stato Adaon! <p><p> Devo riequipaggiarmi o non sopravviverò a lungo. Forse troverò aiuto in quel villaggio a nord.	
